"This sheet is automatically generated; do not edit manually. Use tstk metadata to export a CSV of the recorded traces. copy+paste into this spreadsheet, then use the ""split text to columns"" option in the paste icon. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
total,21:10:12,,quality check,odom check,trace,user,location,type,motion,duration,notes,errata,,
,,,v,,2026-05-06-17-52-13,ray,hamburg.2,indoor,backward,305.82,,,,
,,,v,,2026-05-06-17-59-50,ray,hamburg.3-4,indoor,forward,443.83,,,,
,,,v,,2026-05-06-18-09-13,ray,hamburg.3-4,indoor,lateral,442.48,,,,
,,,v,,2026-05-06-18-18-55,ray,hamburg.3-4,indoor,backward,450.56,,,,
,,,v,,2026-05-07-15-07-23,ray,flagstaff,outdoor,forward,669.04,,high event camera trigger drop rate,no GPS fix,
,,,v,,2026-05-07-16-58-16,nicholas,cmu.field,outdoor,forward,265.75,,,,
,,,v,,2026-05-07-17-04-57,nicholas,cmu.field_perimeter,outdoor,forward,884.09,,high event camera trigger drop rate,,
,,,v,,2026-05-08-14-37-40,tianshu,cic.garage,indoor,lateral,903.28,,,,
,,,v,,2026-05-08-14-54-01,tianshu,cic.garage,indoor,backward,789.65,,,,
,,,v,,2026-05-08-15-27-23,jihwan,tepper,indoor,forward,2493.52,,,,
,,,v,,2026-05-10-15-44-23,jihwan,hunt.1,indoor,forward,390.51,,,,
,,,v,,2026-05-10-15-55-38,jihwan,hunt.2,indoor,forward,333.03,,,,
,,,v,,2026-05-10-16-03-03,jihwan,hunt.3,indoor,forward,386.93,,,,
,,,v,,2026-05-10-16-11-25,jihwan,hunt.4,indoor,forward,309.35,,,,
,,,v,,2026-05-11-16-12-56,bill,"wean.4,nsh.bridge",indoor,lateral,431.84,,,,
,,,v,,2026-05-11-16-24-08,ayaan,"wean.4,nsh.bridge",indoor,backward,300.2,,,,
,,,v,,2026-05-14-16-05-35,jihwan,ghc.3,indoor,forward,228.53,,,,
,,,v,,2026-05-14-16-11-05,jihwan,ghc.3,indoor,lateral,195.66,,,,
,,,v,,2026-05-14-16-17-31,jihwan,ghc.3-4,indoor,forward,765.38,,,,
,,,v,,2026-05-14-16-33-51,jihwan,ghc.5-6,indoor,forward,1090.43,,,,
,,,v,,2026-05-15-15-42-28,ray,wean.3,indoor,lateral,386.28,,,,
,,,v,,2026-05-15-15-51-21,ray,wean.2,indoor,lateral,132.41,,,,
,,,v,,2026-05-15-15-54-38,ray,wean.2,indoor,backward,167.08,,,,
,,,v,,2026-05-15-16-00-56,ray,wean.3,indoor,backward,384.38,,,,
,,,v,,2026-05-15-16-11-32,ray,wean.8,indoor,lateral,216.17,,,,
,,,v,,2026-05-15-16-20-19,ray,wean.8,indoor,backward,233.38,,,,
,,,v,,2026-05-15-16-28-02,ray,wean.7,indoor,lateral,234.93,,,,
,,,v,,2026-05-15-16-32-56,ray,wean.7,indoor,backward,237.81,,,,
,,,v,,2026-05-15-18-28-03,jihwan,cfa1-3,indoor,forward,629.99,,,,
,,,v,,2026-05-15-18-40-11,jihwan,cfa1-3,indoor,lateral,629.93,,,,
,,,v,,2026-05-15-18-52-33,jihwan,cfa1-4,indoor,backward,612.86,,,,
,,,v,,2026-05-18-19-05-56,jihwan,ghc.3-4,indoor,lateral,550.46,,,,
,,,v,,2026-05-18-19-17-38,jihwan,ghc.3-4,indoor,backward,506.08,,,,
,,,v,,2026-05-18-19-33-18,jihwan,ghc.5-6,indoor,lateral,735.16,,,,
,,,v,,2026-05-18-19-48-02,jihwan,ghc.5-6,indoor,backward,681.29,,,,
,,,v,,2026-05-18-20-03-01,jihwan,ghc.6-7,indoor,forward,792.65,,,,
,,,v,,2026-05-19-09-34-04,bill,scaife.4,indoor,forward,85.07,,,,
,,,v,,2026-05-19-09-37-15,bill,scaife.4,indoor,lateral,78.21,,"tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2",,
,,,v,,2026-05-19-09-39-42,bill,scaife.4,indoor,backward,80,,,,
,,,v,,2026-05-19-09-43-34,bill,scaife.3,indoor,forward,96.54,,,,
,,,v,,2026-05-19-09-46-25,bill,scaife.3,indoor,lateral,91.67,,,,
,,,v,,2026-05-19-09-49-47,bill,scaife.3,indoor,backward,89.77,,,,
,,,v,,2026-05-19-09-53-56,bill,scaife.2,indoor,forward,190.3,,,,
,,,v,,2026-05-19-09-59-04,bill,scaife.2,indoor,lateral,201.23,,,,
,,,v,,2026-05-19-10-03-18,bill,scaife.2,indoor,backward,173.74,,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,,
,,,v,,2026-05-19-10-10-22,ayaan,scaife.1,indoor,forward,255.3,,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,,
,,,v,,2026-05-19-10-16-39,ayaan,scaife.1,indoor,lateral,281.3,,"tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2",,
,,,v,,2026-05-19-10-25-57,ayaan,scaife.1,indoor,backward,310.21,,"tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2",,
,,,v,,2026-05-19-10-39-15,ayaan,scaife.A,indoor,forward,104.11,,,,
,,,v,,2026-05-19-10-41-39,ayaan,scaife.A,indoor,lateral,107.33,,,,
,,,v,,2026-05-19-10-44-19,ayaan,scaife.A,indoor,backward,105.51,,,,
,,,v,,2026-05-19-10-48-40,ayaan,scaife.B,indoor,forward,100.31,,,,
,,,v,,2026-05-19-10-50-58,ayaan,scaife.B,indoor,lateral,104.2,,,,
,,,v,,2026-05-19-10-53-23,ayaan,scaife.B,indoor,backward,105.62,,,,
,,,v,,2026-05-19-18-17-06,ray,wean.6,indoor,lateral,318.66,,,,
,,,v,,2026-05-19-18-24-15,ray,wean.6,indoor,backward,316.18,,,,
,,,v,,2026-05-19-18-34-15,ray,wean.5,indoor,lateral,367.73,,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,,
,,,v,,2026-05-19-18-42-09,ray,wean.5,indoor,backward,369.4,,,,
,,,v,,2026-05-19-19-27-44,jihwan,ghc.6-7,indoor,lateral,813.18,,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,
,,,v,,2026-05-19-19-43-12,jihwan,ghc.6-7,indoor,backward,765.47,,,,
,,,v,,2026-05-19-20-01-12,jihwan,ghc.8,indoor,forward,437.43,,,,
,,,v,,2026-05-20-13-17-48,ayaan,porter.a-1,indoor,forward,348.76,,,,
,,,v,,2026-05-20-13-28-44,wasmir,porter.a-1,indoor,lateral,339.61,,,,
,,,v,,2026-05-20-13-36-17,stephanie,porter.a-1,indoor,backward,293.61,,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,,
