Tracking for reliability and logistics - see the Data Manifest for collection metadata,,,,,,,,,
ray 2026-05-01 - 80min = 52% battery consumed; ~2:30 for a full charge,,,,,,,,,
"indoor: an relatively contained indoor area, e.g., a single floor in a building",,,,stairs: an indoor trace consisting primarily of stairwells,,,campus: a long trace including areas in several different buildings,,
room: a trace contained within a single room,,,,"park: data collection in a park (e.g., frick, schenley)",,,outdoor: data collection outdoors (but not in a park),,
,,,,,,,,,
date,user,location,type,movement,duration (min),collection,processing,notes,
2026.05.07,ray,flagstaff,outdoor,forward,10,pass,minor issue,dropped event triggers,cout not get GPS fix
,nicholas,cmu.day,outdoor,forward,5,pass,pass,,
,nicholas,cmu.day,outdoor,forward,15,pass,minor issue,dropped event triggers,
2026.05.08,tianshu,cic.garage,indoor,lateral,-,fail,-,IMU and one event driver did not initialize properly. Came up after tear-down & re-initialize,
,tianshu,cic.garage,indoor,lateral,15,pass,pass,,
,tianshu,cic.garage,indoor,backward,12,pass,pass,,
,jihwan,tepper,indoor,forward,40,pass,pass,,
2026.05.10,jihwan,hunt.1,indoor,forward,6,pass,pass,,
,jihwan,hunt.2,indoor,forward,5,pass,pass,,
,jihwan,hunt.3,indoor,forward,6,pass,pass,,
,jihwan,hunt.4,indoor,forward,5,pass,pass,,
2026.05.11,bill ,"wean.4,nsh.bridge",indoor,lateral,6,pass,pass,,
,ayaan,"wean.4,nsh.bridge",indoor,backward,5,pass,pass,,
2026.05.14,jihwan,ghc.3,indoor,forward,6,pass,pass,,
,jihwan,ghc.3,indoor,lateral,6,pass,pass,,
,jihwan,ghc.3-4,indoor,forward,15,pass,pass,,
,jihwan,ghc.5-6,indoor,forward,18,pass,pass,,
2026.05.15,ray,wean.2,indoor,lateral,3,pass,pass,,
,ray,wean.2,indoor,backward,3,pass,pass,,
,ray,wean.3,indoor,lateral,6,pass,pass,,
,ray,wean.3,indoor,backward,6,pass,pass,,
,ray,wean.7,indoor,lateral,6,pass,pass,,
,ray,wean.7,indoor,backward,6,pass,pass,,
,ray,wean.8,indoor,lateral,6,pass,pass,,
,ray,wean.8,indoor,backward,6,pass,pass,,
,jihwan,cfa.1-3,indoor,forward,10,pass,pass,,
,jihwan,cfa.1-3,indoor,lateral,10,pass,pass,,
,jihwan,cfa.1-4,indoor,backward,10,pass,pass,,
2026.05.18,jihwan,ghc.3-4,indoor,lateral,9,pass,pass,,
,jihwan,ghc.3-4,indoor,backward,10,pass,pass,,
,jihwan,ghc.5-6,indoor,lateral,12,pass,pass,,
,jihwan,ghc.5-6,indoor,backward,12,pass,pass,,
,jihwan,ghc.6-7,indoor,forward,13,pass,pass,,
2026.05.19,ayaan,scaife.B,indoor,forward,2,pass,pass,,
,ayaan,scaife.B,indoor,backward,2,pass,pass,,
,ayaan,scaife.B,indoor,lateral,2,pass,pass,,
,ayaan,scaife.A,indoor,forward,2,pass,pass,,
,ayaan,scaife.A,indoor,backward,2,pass,pass,,
,ayaan,scaife.A,indoor,lateral,2,pass,pass,,
,ayaan,scaife.1,indoor,forward,5,pass,major issue,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger sync.py:350,
,ayaan,scaife.1,indoor,backward,5,pass,major issue,"tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2 sync.py:309",
,ayaan,scaife.1,indoor,lateral,5,pass,major issue,"tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2 sync.py:309",
,bill ,scaife.2,indoor,forward,3.5,pass,pass,,
,bill ,scaife.2,indoor,backward,3.5,pass,major issue,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger sync.py:350,
,bill ,scaife.2,indoor,lateral,3.5,pass,pass,,
,bill ,scaife.3,indoor,forward,1.5,pass,pass,,
,bill ,scaife.3,indoor,backward,1.5,pass,pass,,
,bill ,scaife.3,indoor,lateral,1.5,pass,pass,,
,bill ,scaife.4,indoor,forward,1,pass,pass,,
,bill ,scaife.4,indoor,backward,1,pass,pass,,
,bill ,scaife.4,indoor,lateral,1,pass,major issue," tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2 sync.py:309",
,ray,wean.6,indoor,lateral,6,pass,pass,,
,ray,wean.6,indoor,backward,6,pass,pass,,
,ray,wean.5,indoor,lateral,6,pass,major issue,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger sync.py:350,
,ray,wean.5,indoor,backward,6,pass,pass,,
,jihwan,ghc.6-7,indoor,lateral,15,pass,major issue,"tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,  tsx-evtr.out  WARNING  sync          tick span mismatch between trigger",
,jihwan,ghc.6-7,indoor,backward,12,pass,pass,,
,jihwan,ghc.8,indoor,forward,7,pass,pass,,
2026.05.20,wasmir,porter.a-1,indoor,lateral,6,pass,pass,,
,stephanie,porter.a-1,indoor,backward,6,pass,pass,,
,ayaan,porter.a-2,indoor,forward,6,pass,major issue,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,
,mayuri,,bootup,,,fail,-,loose power cable,
,nicholas,smith-hall/courtyard,campus,forward,4,pass,pass,,
2026.05.21,stephanie,doherty.a,indoor,forward,5,fail,-,radar (DCA1000EVM) drop frames,
,stephanie,doherty.a,indoor,forward,5,pass,pass,,
,stephanie,doherty.a,indoor,lateral,5,pass,major issue,event right dropped,
,stephanie,doherty.a,indoor,backward,5,fail,-,radar (DCA1000EVM) drop frames,
,stephanie,doherty.a,indoor,backward,5,pass,major issue,"event left & right dropped, rgb sequence count mismatch",
,ray,thecut,outdoor,forward,10,pass,pass,,
2026.05.22,bill ,cuc.a,indoor,forward,11,pass,pass,,
,bill ,cuc.a,indoor,lateral,10,pass,pass,,
2026.05.23,ayaan,scaife.1-stairs,indoor,forward,7,pass,major issue,event left right drop. ,not critical: a team of researchers testing an exoskeleton walking around stairs and first floor
,ayaan,scaife.1-stairs,indoor,lateral,7,pass,major issue,event left right drop,
,ayaan,scaife.1-stairs-4,indoor,backward,8,pass,major issue,event right drop. ,"not critical: was supposed to do 4th floor lateral, because bill's run had a major issue, but accidentally did backward instead"
,nicholas,tcs.1-2,indoor,forward,3,pass,pass,,
,nicholas,tcs.1-2,indoor,forward,4,pass,pass,,
,nicholas,tcs.1-2,indoor,backward,4,pass,pass,,
,nicholas,tcs.1-2,indoor,lateral,1,fail,,"discard, wrong path",
,nicholas,tcs.1-2,indoor,lateral,4,pass,pass,,
,nicholas,tcs.3-4,indoor,mixed,1,fail,,"discard, wrong path",
,nicholas,tcs.3-4,indoor,forward,5,pass,pass,,
,nicholas,tcs.3-4,indoor,backward,5,pass,pass,,
,nicholas,tcs.3-4,indoor,lateral,1,fail,,"discard, wrong path",
,nicholas,tcs.3-4,indoor,lateral,1,fail,,"discard, wrong path",
,nicholas,tcs.3-4,indoor,lateral,5,pass,pass,,
2026.05.24,ray,campus.east,outdoor,forward,18,pass,major issue,,
,nicholas,cut.cfa,outdoor,forward,14,fail,major issue,"no gps, event multithread: event left drop, event right drop",
